data_type,timestamp,EEG1,EEG2,EEG3,EEG4
alpha_relative,1580237514192260,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514193126,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514193999,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514194785,0.0,0.0,1.0,0.0
quality,1580237514195258,4.0,1.0,1.0,2.0
alpha_absolute,1580237514285358,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514287507,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514288474,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237514289473,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514290571,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514291505,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514292401,0.0,0.0,0.0,0.0
quality,1580237514292950,4.0,1.0,1.0,2.0
alpha_absolute,1580237514357158,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514358378,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514359530,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237514360621,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514361662,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514362540,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514363307,0.0,0.0,0.0,0.0
quality,1580237514363754,4.0,4.0,1.0,2.0
alpha_absolute,1580237514493091,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514494223,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514495316,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237514496442,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514497276,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514498041,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514498786,0.0,0.0,0.0,0.0
quality,1580237514499400,4.0,4.0,1.0,2.0
alpha_absolute,1580237514615018,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514617202,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514619895,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237514620882,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514621703,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514622675,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514623674,0.0,0.0,0.0,0.0
quality,1580237514624342,4.0,4.0,1.0,2.0
alpha_absolute,1580237514703139,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514704359,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514705449,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237514706843,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514708520,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514709663,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514711580,0.0,0.0,0.0,0.0
quality,1580237514713628,4.0,4.0,1.0,2.0
alpha_absolute,1580237514798642,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514800175,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514801309,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237514802368,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514803239,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514804028,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514804877,0.0,0.0,0.0,0.0
quality,1580237514805487,4.0,4.0,1.0,2.0
alpha_absolute,1580237514888846,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514889632,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514890181,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237514890697,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237514891183,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237514891632,NaN,NaN,0.22552418336469002,NaN
isGood,1580237514892098,0.0,0.0,0.0,0.0
quality,1580237514892329,4.0,4.0,1.0,2.0
alpha_absolute,1580237515001047,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237515002347,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237515003644,0.0,0.0,0.041163188394909254,0.0
alpha_relative,1580237515004851,NaN,NaN,0.12641789900468794,NaN
beta_relative,1580237515005724,NaN,NaN,0.10710051708652811,NaN
theta_relative,1580237515006600,NaN,NaN,0.22552418336469002,NaN
isGood,1580237515007505,0.0,0.0,0.0,0.0
quality,1580237515007996,4.0,4.0,1.0,2.0
alpha_absolute,1580237515077716,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515079551,0.0,0.0,-0.2978149415148437,0.0
theta_absolute,1580237515080694,0.0,0.0,0.09118464566781478,0.0
alpha_relative,1580237515081700,NaN,NaN,0.11464307832075897,NaN
beta_relative,1580237515082503,NaN,NaN,0.09405892347913129,NaN
theta_relative,1580237515083319,NaN,NaN,0.2303560330958748,NaN
isGood,1580237515084111,0.0,0.0,0.0,0.0
quality,1580237515084584,4.0,4.0,1.0,2.0
alpha_absolute,1580237515212868,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515214107,0.0,0.0,-0.3147878074145189,0.0
theta_absolute,1580237515215690,0.0,0.0,0.14871556891324375,0.0
alpha_relative,1580237515216625,NaN,NaN,0.10256484452996376,NaN
beta_relative,1580237515217431,NaN,NaN,0.08092409012305815,NaN
theta_relative,1580237515218204,NaN,NaN,0.23527793588086254,NaN
isGood,1580237515219014,0.0,0.0,0.0,0.0
quality,1580237515219696,4.0,2.0,1.0,2.0
alpha_absolute,1580237515321867,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515323467,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237515324757,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237515325978,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237515327028,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237515328022,NaN,NaN,0.2364502947923708,NaN
isGood,1580237515331266,0.0,0.0,0.0,0.0
quality,1580237515332943,4.0,4.0,1.0,2.0
alpha_absolute,1580237515404981,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515406130,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237515407029,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237515407847,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237515408764,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237515410216,NaN,NaN,0.2364502947923708,NaN
isGood,1580237515411194,0.0,0.0,0.0,0.0
quality,1580237515411740,4.0,2.0,1.0,2.0
alpha_absolute,1580237515500302,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515501701,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237515502826,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237515503809,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237515504723,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237515505520,NaN,NaN,0.2364502947923708,NaN
isGood,1580237515506324,0.0,0.0,0.0,0.0
quality,1580237515506813,4.0,2.0,1.0,2.0
alpha_absolute,1580237515572388,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515573509,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237515574352,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237515575225,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237515576077,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237515577386,NaN,NaN,0.2364502947923708,NaN
isGood,1580237515578253,0.0,0.0,0.0,0.0
quality,1580237515578827,4.0,2.0,1.0,2.0
alpha_absolute,1580237515678720,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515680390,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237515681399,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237515683585,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237515684399,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237515685106,NaN,NaN,0.2364502947923708,NaN
isGood,1580237515685717,0.0,0.0,0.0,0.0
quality,1580237515686109,4.0,1.0,1.0,2.0
alpha_absolute,1580237515826999,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515828362,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237515829515,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237515830698,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237515831826,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237515834481,NaN,NaN,0.2364502947923708,NaN
isGood,1580237515835878,0.0,0.0,0.0,0.0
quality,1580237515836735,4.0,1.0,1.0,2.0
alpha_absolute,1580237515948962,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237515950471,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237515953441,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237515954553,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237515955503,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237515956293,NaN,NaN,0.2364502947923708,NaN
isGood,1580237515957078,0.0,0.0,0.0,0.0
quality,1580237515957613,4.0,1.0,1.0,2.0
alpha_absolute,1580237516023351,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516025329,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516026471,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516027407,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516028195,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516029021,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516030134,0.0,0.0,0.0,0.0
quality,1580237516030769,4.0,1.0,1.0,2.0
alpha_absolute,1580237516116198,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516116986,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516117556,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516118083,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516118530,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516118981,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516119538,0.0,0.0,0.0,0.0
quality,1580237516119775,4.0,1.0,1.0,2.0
alpha_absolute,1580237516211767,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516213111,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516214114,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516215096,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516216004,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516216902,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516217816,0.0,0.0,0.0,0.0
quality,1580237516218381,4.0,1.0,1.0,2.0
alpha_absolute,1580237516305650,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516306706,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516307563,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516308410,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516309163,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516310742,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516311725,0.0,0.0,1.0,0.0
quality,1580237516312678,4.0,1.0,1.0,2.0
alpha_absolute,1580237516434093,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516435335,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516436439,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516437533,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516438831,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516440762,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516441934,0.0,0.0,0.0,0.0
quality,1580237516442581,4.0,1.0,1.0,2.0
alpha_absolute,1580237516525688,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516526860,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516527889,0.0,0.0,0.19963344800049598,0.0
