data_type,timestamp,EEG1,EEG2,EEG3,EEG4
alpha_relative,1592897217713232,NaN,NaN,NaN,NaN
beta_relative,1592897217713980,NaN,NaN,NaN,NaN
theta_relative,1592897217714692,NaN,NaN,NaN,NaN
isGood,1592897217715416,0.0,0.0,0.0,0.0
quality,1592897217715637,2.0,1.0,2.0,2.0
alpha_absolute,1592897217832099,0.0,0.0,0.0,0.0
beta_absolute,1592897217833175,0.0,0.0,0.0,0.0
theta_absolute,1592897217834013,0.0,0.0,0.0,0.0
alpha_relative,1592897217835445,NaN,NaN,NaN,NaN
beta_relative,1592897217838281,NaN,NaN,NaN,NaN
theta_relative,1592897217839167,NaN,NaN,NaN,NaN
isGood,1592897217840039,0.0,0.0,0.0,0.0
quality,1592897217840372,2.0,1.0,2.0,2.0
alpha_absolute,1592897217912443,0.0,0.0,0.0,0.0
beta_absolute,1592897217913128,0.0,0.0,0.0,0.0
theta_absolute,1592897217913622,0.0,0.0,0.0,0.0
alpha_relative,1592897217914058,NaN,NaN,NaN,NaN
beta_relative,1592897217914905,NaN,NaN,NaN,NaN
theta_relative,1592897217915757,NaN,NaN,NaN,NaN
isGood,1592897217916641,0.0,0.0,0.0,1.0
quality,1592897217916919,2.0,1.0,2.0,2.0
alpha_absolute,1592897217991927,0.0,0.0,0.0,0.0
beta_absolute,1592897217993057,0.0,0.0,0.0,0.0
theta_absolute,1592897217993910,0.0,0.0,0.0,0.0
alpha_relative,1592897217994919,NaN,NaN,NaN,NaN
beta_relative,1592897217997216,NaN,NaN,NaN,NaN
theta_relative,1592897217998421,NaN,NaN,NaN,NaN
isGood,1592897217999749,1.0,0.0,0.0,1.0
quality,1592897218000232,2.0,1.0,4.0,2.0
alpha_absolute,1592897218117334,0.0,0.0,0.0,0.0
beta_absolute,1592897218117985,0.0,0.0,0.0,0.0
theta_absolute,1592897218118541,0.0,0.0,0.0,0.0
alpha_relative,1592897218119973,NaN,NaN,NaN,NaN
beta_relative,1592897218120813,NaN,NaN,NaN,NaN
theta_relative,1592897218121609,NaN,NaN,NaN,NaN
isGood,1592897218122377,1.0,0.0,0.0,1.0
quality,1592897218122645,2.0,1.0,4.0,2.0
alpha_absolute,1592897218222911,0.0,0.0,0.0,0.7215847835767935
beta_absolute,1592897218223573,0.0,0.0,0.0,0.4245706461189732
theta_absolute,1592897218224045,0.0,0.0,0.0,0.8191731961370253
alpha_relative,1592897218224539,NaN,NaN,NaN,0.21883075162935145
beta_relative,1592897218225305,NaN,NaN,NaN,0.1104318161518182
theta_relative,1592897218226171,NaN,NaN,NaN,0.2739660603648355
isGood,1592897218227830,1.0,0.0,0.0,1.0
quality,1592897218228186,2.0,1.0,4.0,2.0
alpha_absolute,1592897218320147,0.4886165991531251,0.0,0.0,0.7215847835767935
beta_absolute,1592897218320952,0.5724368611512066,0.0,0.0,0.3958419406393214
theta_absolute,1592897218321484,0.8245557499002598,0.0,0.0,0.7673940622208397
alpha_relative,1592897218322002,0.17790438242308504,NaN,NaN,0.23741337440264915
beta_relative,1592897218322819,0.21577787332739345,NaN,NaN,0.11214046118690313
theta_relative,1592897218323627,0.3855900310151255,NaN,NaN,0.2638240964413636
isGood,1592897218324491,1.0,0.0,0.0,1.0
quality,1592897218324787,1.0,1.0,4.0,1.0
alpha_absolute,1592897218436976,0.4932595904230114,0.0,0.0,0.7215847835767935
beta_absolute,1592897218437742,0.5694785879916465,0.0,0.0,0.3687564804610103
theta_absolute,1592897218438286,0.7848060165007751,0.0,0.0,0.7172779054134591
alpha_relative,1592897218438791,0.183981756592499,NaN,NaN,0.25577072133038137
beta_relative,1592897218439674,0.21927734219987685,NaN,NaN,0.11350696858126981
theta_relative,1592897218440577,0.36001549001428446,NaN,NaN,0.2532467905284587
isGood,1592897218441441,1.0,0.0,0.0,1.0
quality,1592897218441723,1.0,1.0,4.0,1.0
alpha_absolute,1592897218527549,0.4932595904230114,0.0,0.0,0.7215847835767935
beta_absolute,1592897218528921,0.5585858856968173,0.0,0.0,0.3471026838315832
theta_absolute,1592897218530188,0.7524209428812563,0.0,0.0,0.6741005761558763
alpha_relative,1592897218531367,0.18287552850676767,NaN,NaN,0.27119067563014393
beta_relative,1592897218532761,0.21256017037789923,NaN,NaN,0.11449661658869505
theta_relative,1592897218533920,0.3321367614505736,NaN,NaN,0.24310312728241182
isGood,1592897218535126,1.0,0.0,0.0,1.0
quality,1592897218535637,1.0,1.0,4.0,1.0
alpha_absolute,1592897218615654,0.4932595904230114,0.0,0.0,0.7215847835767935
beta_absolute,1592897218616599,0.5585858856968173,0.0,0.0,0.32923162585349247
theta_absolute,1592897218617197,0.7524209428812563,0.0,0.0,0.6369927651194834
alpha_relative,1592897218617730,0.18287552850676767,NaN,NaN,0.2799730077766911
beta_relative,1592897218618546,0.21256017037789923,NaN,NaN,0.11343916086226609
theta_relative,1592897218619462,0.3321367614505736,NaN,NaN,0.23042210752977968
isGood,1592897218620319,0.0,0.0,0.0,1.0
quality,1592897218620574,1.0,1.0,4.0,1.0
alpha_absolute,1592897218787576,0.4932595904230114,0.0,0.0,0.7215847835767935
beta_absolute,1592897218788812,0.5585858856968173,0.0,0.0,0.3165854587287737
theta_absolute,1592897218789886,0.7524209428812563,0.0,0.0,0.6049688013130081
alpha_relative,1592897218791183,0.18287552850676767,NaN,NaN,0.2806941886271665
beta_relative,1592897218793418,0.21256017037789923,NaN,NaN,0.1104673908461269
theta_relative,1592897218794971,0.3321367614505736,NaN,NaN,0.21459393279575723
isGood,1592897218796684,0.0,1.0,0.0,1.0
quality,1592897218797339,1.0,1.0,2.0,1.0
alpha_absolute,1592897218856986,0.4932595904230114,0.0,0.0,0.7215847835767935
beta_absolute,1592897218857785,0.5585858856968173,0.0,0.0,0.31176069192967887
theta_absolute,1592897218858367,0.7524209428812563,0.0,0.0,0.5789046757023603
alpha_relative,1592897218858891,0.18287552850676767,NaN,NaN,0.27417852350684474
beta_relative,1592897218859763,0.21256017037789923,NaN,NaN,0.10671103733987013
theta_relative,1592897218860522,0.3321367614505736,NaN,NaN,0.19740280772148514
isGood,1592897218861311,0.0,1.0,0.0,1.0
quality,1592897218861564,1.0,1.0,2.0,1.0
alpha_absolute,1592897218964524,0.533364198913988,0.0,0.0,0.7215847835767935
beta_absolute,1592897218965967,0.5618100656722628,0.0,0.0,0.31176069192967887
theta_absolute,1592897218967646,0.7202018366584753,0.0,0.0,0.5789046757023603
alpha_relative,1592897218968856,0.1760553957532529,NaN,NaN,0.27417852350684474
beta_relative,1592897218970252,0.1879728848427695,NaN,NaN,0.10671103733987013
theta_relative,1592897218972133,0.2706992033239403,NaN,NaN,0.19740280772148514
isGood,1592897218974281,1.0,1.0,0.0,0.0
quality,1592897218974931,1.0,1.0,2.0,1.0
alpha_absolute,1592897219036173,0.562842370313122,-0.03798795878227473,0.0,0.7215847835767935
beta_absolute,1592897219037026,0.5679437396016224,-0.16155912703026648,0.0,0.31176069192967887
theta_absolute,1592897219037737,0.7079148762063776,0.06861240414252726,0.0,0.5789046757023603
alpha_relative,1592897219038353,0.17134994782284527,0.12286471730892633,NaN,0.27417852350684474
beta_relative,1592897219040326,0.1733745495821885,0.0924391657760681,NaN,0.10671103733987013
